Isin,Nombre del Fondo,Categoría General,Riesgo (1-7),Volatilidad,Ratio Sharpe,Morningstar ID,Morningstar URL
LU0034353002,DWS Floating Rate Notes,RF Ultra Corto Plazo EUR,2,"0,31","1,58",F0GBR04NQN,https://global.morningstar.com/es/inversiones/fondos/F0GBR04NQN/cotizacion
FR0000989626,Groupama Trésorerie,Mercado Monetario EUR,1,"0,17","3,9",F0GBR04M6M,https://global.morningstar.com/es/inversiones/fondos/F0GBR04M6M/cotizacion
LU1508158430,BlackRock Strategic Funds - BlackRock Systematic Asia Pacific Equity Absolute Return Fund,Equity Market Neutral USD,4,"4,62","2,97",F00000YM8X,https://global.morningstar.com/es/inversiones/fondos/F00000YM8X/cotizacion
LU1190417599,Multi Units Luxembourg - Amundi Smart Overnight Return,Mercado Monetario EUR,1,"0,11","8,14",0P0001UPP5,https://global.morningstar.com/en-eu/investments/etfs/0P0001UPP5/quote
LU0352158918,UBAM - Dynamic US Dollar Bond,USD Corporate Bond - Short Term,2,"0,52","1,18",F000005M84,https://global.morningstar.com/es/inversiones/fondos/F000005M84/cotizacion
FR0011088657,Amundi Ultra Short Term Bond SRI,RF Ultra Corto Plazo EUR,1,"0,24","3,3",F00000N879,https://global.morningstar.com/es/inversiones/fondos/F00000N879/cotizacion
LU2482630675,European Specialist Investment Funds - M&G Total Return Credit Investment,RF Flexible Global-EUR Cubierto,3,"1,22","0,97",F00001DZCX,https://global.morningstar.com/es/inversiones/fondos/F00001DZCX/cotizacion
IE00BFZMJT78,Neuberger Berman Short Duration Euro Bond Fund,RF Diversificada Corto Plazo EUR,3,"1,07","3,33",F000011OIS,https://global.morningstar.com/es/inversiones/fondos/F000011OIS/cotizacion
LU0607220562,Schroder International Selection Fund EURO Corporate Bond,RF Deuda Corporativa EUR,3,"1,78","1,26",F00000MG0P,https://global.morningstar.com/es/inversiones/fondos/F00000MG0P/cotizacion
ES0140794001,Gamma Global FI,Mixtos Defensivos EUR - Global,7,"2,04","3,31",F000016XFK,https://global.morningstar.com/es/inversiones/fondos/F000016XFK/cotizacion
ES0138534054,Santander Rendimiento FI,RF Ultra Corto Plazo EUR,2,"0,19","4,26",F00000WINH,https://global.morningstar.com/es/inversiones/fondos/F00000WINH/cotizacion
IE00B03HD191,Vanguard Global Stock Index Fund,RV Global Cap. Grande Blend,6,"14,44","0,43",F0GBR052TN,https://global.morningstar.com/en-eu/investments/funds/F0GBR052TN/quote
IE00BYX5NX33,Fidelity MSCI World Index Fund,RV Global Cap. Grande Blend,6,"14,45","0,43",F00001019E,https://global.morningstar.com/es/inversiones/fondos/F00001019E/cotizacion
IE00BYX5MX67,Fidelity S&P 500 Index Fund,RV USA Cap. Grande Blend,6,"16,98","0,36",F00001019G,https://global.morningstar.com/es/inversiones/fondos/F00001019G/cotizacion
FI0008811997,Evli Nordic Corporate Bond Fund,RF Flexible EUR,3,"1,47","2,23",F000000AEY,https://global.morningstar.com/es/inversiones/fondos/F000000AEY/cotizacion
LU1623762843,Carmignac Portfolio Credit,RF Flexible EUR,4,"2,56","1,42",F000011ROH,https://global.morningstar.com/es/inversiones/fondos/F000011ROH/cotizacion
IE00BYX5P602,Fidelity MSCI World Index Fund,RV Global Cap. Grande Blend,6,"10,54","0,74",F00000ZZMY,https://global.morningstar.com/es/inversiones/fondos/F00000ZZMY/cotizacion
IE00BYX5N110,Fidelity S&P 500 Index Fund,RV USA Cap. Grande Blend,6,"11,94","0,7",F00000ZZN2,https://global.morningstar.com/es/inversiones/fondos/F00000ZZN2/cotizacion
LU1988110927,Buy & Hold Luxembourg B&H Bond,RF Flexible EUR,3,"2,09","1,74",F000014TGO,https://global.morningstar.com/es/inversiones/fondos/F000014TGO/cotizacion
ES0112618006,B&H Deuda FI,RF Flexible EUR,4,"1,16","2,14",,
LU1213836080,Fidelity Funds - Global Technology Fund,RV Sector Tecnología,6,"17,11","0,43",,
FR0000447823,AXA Trésor Court Terme,Mercado Monetario Corto Plazo EUR,1,"0,16","4,17",F0GBR04EZP,https://global.morningstar.com/es/inversiones/fondos/F0GBR04EZP/cotizacion
ES0176954016,Renta 4 Renta Fija FI,RF Diversificada Corto Plazo EUR,2,"0,62","2,44",,
LU0210534227,JPMorgan Funds - Global Focus Fund,RV Global Cap. Grande Blend,6,"17,73","0,03",,
LU1164219682,AXA World Funds - Euro Credit Total Return,RF Flexible EUR,4,"3,18","1,66",,
ES0176954008,Renta 4 Renta Fija FI,RF Diversificada Corto Plazo EUR,2,"0,67","2,21",,
LU0231205187,Franklin India Fund,RV India,6,"14,29","0,02",,
ES0107696074,Cinvest Multigestión Selección Oricalco FI,Mixtos Flexibles EUR - Global,7,"64,87","1,04",,
FR0010148981,Carmignac Investissement,RV Global Cap. Grande Growth,6,"16,41","0,37",,
FR0010149120,Carmignac Sécurité,RF Diversificada Corto Plazo EUR,3,"1,1","1,7",,
XS2434891219,Fidelity Physical Bitcoin ETP,Otros,7,"57,11","0,9",,
LU1548497699,Allianz Global Investors Fund - Allianz Global Artificial Intelligence,RV Sector Tecnología,7,"23,43",0,,
LU0339661307,Robeco QI European Conservative Equities,RV Europa Cap. Grande Blend,5,"7,11","1,62",,
IE00B42W3S00,Vanguard Global Small-Cap Index Fund,RV Global Cap. Pequeña,6,"17,22","0,04",,
FR0000991390,La Française Trésorerie ISR,Mercado Monetario EUR,1,"0,16","1,97",,
LU0113258742,Schroder International Selection Fund EURO Corporate Bond,RF Deuda Corporativa EUR,4,"2,66","1,35",,
ES0128520006,Renta 4 Renta Fija 6 Meses FI,Mercado Monetario EUR,1,"0,2","2,29",,
IE0031574647,Brandes European Value Fund,RV Europa Cap. Grande Value,6,"12,05","0,75",,
ES0128522002,Renta 4 Valor Relativo FI,Alt - Global Macro,2,"1,51","1,07",,
IE00B0M63516,iShares MSCI Brazil UCITS ETF USD (Dist),RV Brasil,7,"28,58","1,34",,
LU0935222066,Natixis AM Funds - Ostrum Credit Short Duration,RF Deuda Corporativa Corto Plazo EUR,3,"1,06","2,12",,
LU1914597502,MFS Meridian Funds - Euro Credit Fund,RF Deuda Corporativa EUR,4,"2,92","1,1",,
FR0011071778,Ostrum Crédit Euro 1-3,RF Deuda Corporativa Corto Plazo EUR,2,"0,94","2,2",,
FR0000027609,Lazard Euro Short Duration,RF Deuda Corporativa Corto Plazo EUR,3,"1,61","2,3",,
LU0474966750,Pictet-Japan Index,RV Japón Cap. Grande,6,"9,57","0,37",,
IE0031786142,Vanguard Emerging Markets Stock Index Fund,RV Global Emergente,6,"10,81","0,5",,
IE00BYWYCC39,iShares Emerging Markets Index Fund (IE),RV Global Emergente,6,"11,02","0,5",,
IE00BYX5M476,Fidelity MSCI Emerging Markets Index Fund,RV Global Emergente,6,"10,88","0,48",,
LU0880062913,JPMorgan Funds - Global Healthcare Fund,RV Sector Salud,6,"16,61","-0,98",,
LU0955863922,Invesco Funds - Invesco Euro Corporate Bond Fund,RF Deuda Corporativa EUR,4,"2,72","1,02",,
LU0117859560,JPMorgan Funds - Europe Small Cap Fund,RV Europa Cap. Pequeña,6,"12,78","0,85",,
IE00B67T5G21,iShares Euro Investment Grade Corporate Bond Index Fund (IE),RF Deuda Corporativa EUR,3,"2,82","1,17",,
LU0261952419,Fidelity Funds - Global Healthcare Fund,RV Sector Salud,6,"15,68","-1,16",,
LU0261952682,Fidelity Funds - Euro 50 Index Fund,RV Zona Euro Cap. Grande,6,"12,03","0,64",,
LU0370787193,Fidelity Funds - Euro Corporate Bond Fund,RF Deuda Corporativa EUR,4,"4,36","0,49",,
IE00BYX5NH74,Fidelity MSCI Japan Index Fund,RV Japón Cap. Grande,6,"10,41","-0,02",,
FR0010016477,Candriam Index Arbitrage,Alt - Arbitraje de deuda,3,"0,79","0,45",,
IE00BDFB7290,Vanguard Global Short-Term Corporate Bond Index Fund,RF Deuda Corporativa Global - USD Cubierto,3,"1,96","1,06",,
LU0549541232,BlueBay Funds - BlueBay Investment Grade Euro Government Bond Fund,RF Deuda Pública EUR,3,"4,76","0,29",,
LU0251661590,AXA World Funds - Euro Long Duration Bonds,RF Largo Plazo EUR,4,"9,19","0,01",,
IE00B3KR3M49,PIMCO GIS plc - Euro Credit Fund,RF Deuda Corporativa EUR,4,"3,54","0,64",,
LU0261951528,Fidelity Funds - European Smaller Companies Fund,RV Europa Cap. Pequeña,6,"12,84","-0,26",,
LU1481583711,Flossbach von Storch - Bond Opportunities,RF Flexible Global-EUR Cubierto,3,"3,91","0,42",,
IE00BJN4RG66,iShares Screened Global Corporate Bond Index Fund (IE),RF Deuda Corporativa Global,4,"4,03","0,36",,
IE00B84J9L26,PIMCO GIS plc - Income Fund,RF Flexible Global-USD Cubierto,4,"3,87","0,35",,
LU0625737910,Pictet - China Index,RV China,7,"28,61","0,66",,
IE00BSKRJX20,iShares € Govt Bond 20yr Target Duration UCITS ETF,RF Largo Plazo EUR,6,"12,41","-0,33",,
IE00B246KL88,Vanguard 20+ Year Euro Treasury Index Fund,RF Largo Plazo EUR,6,"12,45","-0,36",,
LU1883306497,Amundi Funds - European Equity Small Cap,RV Europa Cap. Mediana,6,"14,33","0,14",,
IE00B18GC888,Vanguard Global Bond Index Fund,RF Global - USD Cubierto,4,"3,94","0,24",,
LU1694789451,DNCA Invest Alpha Bonds,RF Flexible Global,3,"1,55","0,54",,
IE00BH65QP47,Vanguard Global Short-Term Bond Index Fund,RF Global - USD Cubierto,3,"1,93","0,84",,
IE00BD8PGZ49,iShares $ Treasury Bond 20+yr UCITS ETF,RF Deuda Pública USD,6,"12,43","-0,39",,
IE0007471471,Vanguard U.S. Government Bond Index Fund,RF Deuda Pública USD,4,"4,97","0,01",,
IE000XOE1GE5,Man Global Investment Grade Opportunities,RF Deuda Corporativa Global - USD Cubierto,4,0,0,,
LU0309035441,Pictet-Short-Term Money Market JPY,Mercado Monetario Otros,1,"9,08","-1,1",,
IE00BDR0JY05,Ashoka WhiteOak ICAV - Ashoka WhiteOak India Opportunities Fund,RV India,6,"17,76","0,19",,
LU1900066207,Amundi MSCI Brazil UCITS ETF,RV Brasil,7,"17,1","-0,42",,
LU0551369712,HSBC Global Investment Funds - Brazil Equity,RV Brasil,7,"18,28","-0,2",,
LU0329070915,Jupiter Global Fund - Jupiter India Select,RV India,6,"16,13","0,11",,
IE0031786696,Vanguard Emerging Markets Stock Index Fund,RV Global Emergente,6,"10,81","0,5",,
IE00BGHQF631,Guinness Asset Management Funds plc - Global Equity Income,RV Global Alto Dividendo,5,"10,97","0,39",,
LU0849399786,Schroder International Selection Fund EURO High Yield,RF Bonos Alto Rendimiento EUR,4,"2,54","2,23",,
LU1984712320,Janus Henderson Horizon Global Smaller Companies Fund,RV Global Cap. Pequeña,6,"17,92","0,37",,
IE00B441G979,iShares V PLC - iShares MSCI World EUR Hedged UCITS ETF (Acc),RV Sector Otros,6,"10,52","0,73",,
ES0112611001,Azvalor Internacional FI,RV Global Cap. Flexible,7,"12,11","-0,83",,
ES0119199000,Cobas Internacional FI,RV Global Cap. Pequeña,7,"10,52","0,61",,
IE00BH480S68,GQG Partners Global Equity Fund,RV Global Cap. Grande Growth,6,"15,44","-0,6",,
ES0110485010,Tressis Cartera Eco30 FI,RV Global Cap. Grande Value,7,"12,16","0,18",,
LU1593227850,BlackRock Strategic Funds - BlackRock Systematic Asia Pacific Equity Absolute Return Fund,Equity Market Neutral USD,4,"4,63","3,05",,
LU0348926287,Nordea 1 - Global Climate and Environment Fund,RV Sector Ecología,6,"15,15","-0,14",,
ES0159259011,Magallanes European Equity FI,RV Europa Cap. Flexible,5,"12,73","-0,07",,
ES0173311103,Renta 4 Multigestión Numantia Patrimonio Global FI,Mixtos Flexibles EUR - Global,5,"20,94","0,57",,
ES0114673033,Bestinfond FI,RV Europa Cap. Flexible,6,"12,62","0,15",,
ES0146309002,Horos Value Internacional FI,RV Global Cap. Pequeña,5,"11,85","0,57",F000010KY6,https://global.morningstar.com/es/inversiones/fondos/F000010KY6/cotizacion
IE00BF12WY77,Polar Capital Funds PLC - Polar Capital Healthcare Opportunities Fund,RV Sector Salud,6,"15,38","-0,52",,
IE00B579F325,Invesco Physical Gold ETC,Materias Primas - Metales Preciosos,4,"11,24","0,8",,
LU0273159177,DWS Invest - Gold and Precious Metals Equities,RV Sector Oro y Metales Preciosos,7,"25,08","1,53",,
LU0113257694,Schroder International Selection Fund EURO Corporate Bond,RF Deuda Corporativa EUR,4,"2,66","1,2",,
LU0607220646,Schroder International Selection Fund EURO Corporate Bond,RF Deuda Corporativa EUR,3,"1,79","1,49",,
IE000M7V94E1,VanEck Uranium and Nuclear Technologies UCITS ETF,RV Sector Recursos Naturales,7,0,0,,
IE00B42W4L06,Vanguard Global Small-Cap Index Fund,RV Global Cap. Pequeña,6,"17,22","0,04",,
LU0234682986,Goldman Sachs US Small Cap CORE® Equity Portfolio,RV USA Cap. Pequeña,6,"26,96","-0,09",,
IE00BH3Z9Y78,Heptagon Fund ICAV - Driehaus US Small Cap Equity Fund,RV USA Cap. Pequeña,7,"25,43","-0,44",,
IE00BG0J4C88,iShares Digital Security UCITS ETF,RV Sector Tecnología,6,"19,84","-0,65",,
LU1819480192,Echiquier Artificial Intelligence,RV Sector Tecnología,7,"28,17","0,68",,
DE0008474149,DWS Artificial Intelligence,RV Sector Tecnología,6,"21,41","0,44",,
LU0280435388,Pictet - Clean Energy Transition,RV Sector Energía Alternativa,6,"18,13","-0,46",,
LU2145461757,Robeco Smart Energy,RV Sector Energía Alternativa,6,"17,4","-0,44",,
IE00BN4GWH52,GQG Global UCITS ICAV - GQG Partners US Equity Fund,RV USA Cap. Grande Blend,6,"19,79","-0,43",,
IE00BYW5Q247,GQG Partners Emerging Markets Equity Fund,RV Global Emergente,6,"8,29","-1,58",,
IE00BH481053,GQG Partners Global Equity Fund,RV Global Cap. Grande Growth,6,"15,39","-0,64",,
ES0141116030,Hamco Global Value Fund FI,RV Global Cap. Pequeña,6,"11,67","0,12",F000014ACV,https://global.morningstar.com/es/inversiones/fondos/F000014ACV/cotizacion
LU1295551144,Capital Group New Perspective Fund (LUX),RV Global Cap. Grande Growth,,0,0,,
ES0112231008,Avantage Fund FI,Mixtos Flexibles EUR - Global,3,"10,8","0,98",,
LU1797811236,M&G (Lux) Investment Funds 1 - M&G (Lux) European Strategic Value Fund,RV Europa Cap. Grande Value,6,"11,1","1,2",,
LU0318931192,Fidelity Funds - China Focus Fd,RV China,6,"24,99","0,2",,
IE00BDGV0290,Guinness Asset Management Funds plc - Global Equity Income,RV Global Alto Dividendo,5,"10,98","0,44",,
FR0010527275,Amundi MSCI Water ESG Screened UCITS ETF,RV Sector Agua,6,"12,8","0,26",,
FR001400CFA4,Ostrum Credit Ultra Short Plus,RF Ultra Corto Plazo EUR,2,"0,27","2,56",,
ES0175437005,Dunas Valor Prudente FI,Alt - Multiestrategia,2,"0,51","2,62",,
LU2357810931,Amundi S.F. - Diversified Short-Term Bond,RF Diversificada Corto Plazo EUR,3,"2,05","2,01",,
ES0116848005,Global Allocation FI,Mixtos Otros,5,"12,92","-0,39",,
IE00008TZ2E8,Man Funds plc - Man Dynamic Income,RF Flexible Global-USD Cubierto,5,"2,04","3,35",,
LU1984948874,SIH FCP - BrightGate Global Income Fund,RF Flexible Global-EUR Cubierto,4,3,"0,67",,
IE000MI53C66,Man Global Investment Grade Opportunities,RF Deuda Corporativa Global - USD Cubierto,4,"3,3","1,6",,
ES0111089001,Atmos Global FI,Mixtos Flexibles EUR - Global,4,"12,09","1,55",,
IE000YYE6WK5,VanEck Defense ETF,RV Sector Materiales Industriales,7,0,0,,
IE000OJ5TQP4,Future of Defence UCITS ETF,RV Sector Otros,6,0,0,,
IE000U9ODG19,iShares Global Aerospace & Defence UCITS ETF,RV Sector Materiales Industriales,7,0,0,,
LU1372006947,Cobas LUX SICAV - Cobas Selection Fund,RV Global Cap. Pequeña,7,"10,6","0,71",,
ES0124037013,Cobas Selección FI,RV Global Cap. Pequeña,7,"10,76","0,73",,
LU1953238794,EC SICAV - EverCapital Investments UCITS I Fund,Mixtos Flexibles EUR - Global,5,"7,8","0,35",,
XS2399364582,Leverage Shares 5x Long S&P 500 ETP Securities,Trading - Apalancados/Inversos RV,,0,0,,
LU1084165056,Fidelity Funds - Global Equity Income Fund,RV Global Alto Dividendo,5,"8,55","1,6",,
ES0165243025,Myinvestor Value FI,RV Europa Cap. Pequeña,,0,0,,
LU0346389348,Fidelity Funds - Global Technology Fund,RV Sector Tecnología,6,"17,14","0,48",,
IE00BMC38736,VanEck Semiconductor UCITS ETF,RV Sector Tecnología,7,"36,04","-0,44",,
ES0175414012,Dunas Valor Equilibrado FI,Alt - Multiestrategia,4,"1,37","2,35",,
ES0175316001,Dunas Valor Flexible FI,Alt - Multiestrategia,5,"2,71","2,76",,
LU1694789535,DNCA Invest Alpha Bonds,RF Flexible Global,3,"1,57","0,76",,
LU0115773425,Fidelity Funds - Global Technology Fund,RV Sector Tecnología,6,"16,51","0,48",,
